date:1485847413,lat:47.08171794656664,long:2.415958112105727;
date:1485847423,lat:47.08170855883509,long:2.4159847665578127;
date:1485847433,lat:47.08170855883509,long:2.4159847665578127;
date:1485847445,lat:47.08173341117799,long:2.4159819167107344;
date:1485847455,lat:47.08174833096564,long:2.415965488180518;
date:1485847467,lat:47.081799544394016,long:2.41591720841825;
date:1485847477,lat:47.081862073391676,long:2.41587127558887;
date:1485847487,lat:47.08195641171187,long:2.4158155359327793;
date:1485847498,lat:47.08196525461972,long:2.4158095847815275;
date:1485847508,lat:47.08196525461972,long:2.4158095847815275;
date:1485847519,lat:47.081950209103525,long:2.415793491527438;
date:1485847529,lat:47.08195008337498,long:2.415793491527438;
date:1485847540,lat:47.08195008337498,long:2.415793491527438;
date:1485847550,lat:47.08195008337498,long:2.415793491527438;
date:1485847560,lat:47.08195008337498,long:2.415793491527438;
date:1485847573,lat:47.08195008337498,long:2.415793491527438;
date:1485847583,lat:47.08195008337498,long:2.415793491527438;
date:1485847594,lat:47.08195008337498,long:2.415793491527438;
date:1485847605,lat:47.08195008337498,long:2.415793491527438;
date:1485847615,lat:47.08195008337498,long:2.415793491527438;
date:1485847625,lat:47.08195008337498,long:2.415793491527438;
date:1485847636,lat:47.0819271588698,long:2.41581117734313;
date:1485847647,lat:47.08186458796263,long:2.4158266838639975;
date:1485847658,lat:47.08188851829618,long:2.415813859552145;
date:1485847669,lat:47.08188851829618,long:2.415813859552145;
date:1485847680,lat:47.08188851829618,long:2.415813859552145;
date:1485847690,lat:47.08188851829618,long:2.415813859552145;
date:1485847700,lat:47.08188851829618,long:2.415813859552145;
date:1485847711,lat:47.08188851829618,long:2.415813859552145;
date:1485847721,lat:47.08188851829618,long:2.415813859552145;
date:1485847731,lat:47.08188851829618,long:2.415813859552145;
date:1485847742,lat:47.081865719519556,long:2.415818804875016;
date:1485847752,lat:47.08185302093625,long:2.4158255103975534;
date:1485847762,lat:47.08185302093625,long:2.4158255103975534;
date:1485847773,lat:47.08185302093625,long:2.4158255103975534;
date:1485847783,lat:47.08185302093625,long:2.4158255103975534;
date:1485847793,lat:47.08185302093625,long:2.4158255103975534;
date:1485847804,lat:47.08185302093625,long:2.4158255103975534;
date:1485847815,lat:47.08185302093625,long:2.4158255103975534;
date:1485847825,lat:47.08185302093625,long:2.4158255103975534;
date:1485847835,lat:47.08185302093625,long:2.4158255103975534;
date:1485847845,lat:47.08185302093625,long:2.4158255103975534;
date:1485847856,lat:47.08185302093625,long:2.4158255103975534;
date:1485847867,lat:47.08187091629952,long:2.4158355686813593;
date:1485847877,lat:47.08190783858299,long:2.4158567748963833;
date:1485847888,lat:47.08190783858299,long:2.4158567748963833;
date:1485847899,lat:47.08191370591521,long:2.415866916999221;
date:1485847910,lat:47.08202078472823,long:2.41581360809505;
date:1485847920,lat:47.08206977695227,long:2.4157713633030653;
date:1485847931,lat:47.082046433351934,long:2.415765328332782;
date:1485847941,lat:47.08200385328382,long:2.4157635681331158;
date:1485847952,lat:47.08197229541838,long:2.415776224806905;
date:1485847962,lat:47.08201894070953,long:2.4157491512596607;
date:1485847972,lat:47.081985706463456,long:2.415758203715086;
date:1485847983,lat:47.08194761071354,long:2.415779074653983;
date:1485847993,lat:47.08194761071354,long:2.415779074653983;
date:1485848004,lat:47.08194761071354,long:2.415779074653983;
date:1485848015,lat:47.08194761071354,long:2.415779074653983;
date:1485848026,lat:47.08194761071354,long:2.415779074653983;
date:1485848036,lat:47.08194761071354,long:2.415779074653983;
date:1485848046,lat:47.0819350797683,long:2.415784439072013;
date:1485848057,lat:47.08192833233625,long:2.415786786004901;
date:1485848067,lat:47.08192833233625,long:2.415786786004901;
date:1485848078,lat:47.08190452773124,long:2.4157718662172556;
date:1485848088,lat:47.081887470558286,long:2.4157509952783585;
date:1485848098,lat:47.081887470558286,long:2.4157509952783585;
date:1485848108,lat:47.08186903037131,long:2.4157392606139183;
date:1485848118,lat:47.08186903037131,long:2.4157392606139183;
date:1485848128,lat:47.08186903037131,long:2.4157392606139183;
date:1485848139,lat:47.08186903037131,long:2.4157392606139183;
date:1485848151,lat:47.08186903037131,long:2.4157392606139183;
date:1485848161,lat:47.08190293516964,long:2.415789971128106;
date:1485848172,lat:47.08195745944977,long:2.415810003876686;
