date:1028295,lat:47.246609,long:2.372989;
date:1028315,lat:47.246693,long:2.372874;
date:1028335,lat:47.246784,long:2.372774;
date:1028355,lat:47.246883,long:2.372681;
date:1028375,lat:47.246990,long:2.372589;
date:1028395,lat:47.247086,long:2.372505;
date:1028415,lat:47.247211,long:2.372419;
date:1028435,lat:47.247360,long:2.372376;
date:1028455,lat:47.247475,long:2.372276;
date:1028475,lat:47.247555,long:2.372170;
date:1028495,lat:47.247639,long:2.372062;
date:1028515,lat:47.247746,long:2.371985;
date:1028535,lat:47.247841,long:2.371882;
date:1028555,lat:47.247902,long:2.371787;
date:1028575,lat:47.248077,long:2.371663;
date:1028595,lat:47.248184,long:2.371573;
date:1028615,lat:47.248306,long:2.371506;
date:1028635,lat:47.248394,long:2.371408;
date:1028655,lat:47.248489,long:2.371334;
date:1028675,lat:47.248489,long:2.371334;
date:1028695,lat:47.248489,long:2.371334;
date:1028715,lat:47.248489,long:2.371334;
date:1028735,lat:47.248489,long:2.371334;
date:1028755,lat:47.248489,long:2.371334;
date:1028775,lat:47.248749,long:2.371016;
date:1028795,lat:47.248928,long:2.370813;
date:1028815,lat:47.249065,long:2.370668;
date:1028835,lat:47.249168,long:2.370546;
date:1028855,lat:47.249168,long:2.370546;
date:1028875,lat:47.249168,long:2.370546;
date:1028895,lat:47.249168,long:2.370546;
date:1028915,lat:47.249168,long:2.370546;
date:1028935,lat:47.249485,long:2.370239;
date:1028955,lat:47.249714,long:2.370060;
date:1028975,lat:47.249882,long:2.369935;
date:1028995,lat:47.250008,long:2.369831;
date:1029015,lat:47.250099,long:2.369727;
date:1029035,lat:47.250099,long:2.369727;
date:1029055,lat:47.250099,long:2.369727;
date:1029075,lat:47.250099,long:2.369727;
date:1029095,lat:47.250099,long:2.369727;
date:1029115,lat:47.250797,long:2.369302;
date:1029135,lat:47.250813,long:2.369143;
date:1029155,lat:47.250771,long:2.368992;
date:1029175,lat:47.250771,long:2.368992;
date:1029195,lat:47.250771,long:2.368992;
date:1029215,lat:47.250458,long:2.368628;
date:1029235,lat:47.250408,long:2.368488;
date:1029255,lat:47.250351,long:2.368347;
date:1029275,lat:47.250286,long:2.368204;
date:1029295,lat:47.250214,long:2.368062;
date:1029315,lat:47.250153,long:2.367914;
date:1029335,lat:47.250084,long:2.367767;
date:1029355,lat:47.250031,long:2.367627;
date:1029375,lat:47.249977,long:2.367494;
date:1029395,lat:47.249924,long:2.367347;
date:1029415,lat:47.249867,long:2.367204;
date:1029435,lat:47.249798,long:2.367073;
date:1029455,lat:47.249737,long:2.366938;
date:1029475,lat:47.249668,long:2.366807;
date:1029495,lat:47.249607,long:2.366679;
date:1029515,lat:47.249607,long:2.366679;
date:1029535,lat:47.249607,long:2.366679;
date:1029555,lat:47.249386,long:2.366137;
date:1029575,lat:47.249325,long:2.366010;
date:1029595,lat:47.249249,long:2.365862;
date:1029615,lat:47.249191,long:2.365723;
date:1029635,lat:47.249123,long:2.365594;
date:1029655,lat:47.249062,long:2.365447;
date:1029675,lat:47.249001,long:2.365318;
date:1029695,lat:47.248962,long:2.365187;
date:1029715,lat:47.248909,long:2.365052;
date:1029735,lat:47.248909,long:2.365052;
