date:1007115,lat:47.128437,long:2.3940134;
date:1007135,lat:47.1286049,long:2.3940372;
date:1007155,lat:47.1287651,long:2.3940816;
date:1007175,lat:47.1289291,long:2.3941338;
date:1007195,lat:47.1290855,long:2.3942125;
date:1007215,lat:47.1292305,long:2.3942811;
date:1007235,lat:47.1293831,long:2.3943021;
date:1007255,lat:47.1295242,long:2.3943195;
date:1007275,lat:47.1296654,long:2.3943071;
date:1007295,lat:47.1298027,long:2.3942769;
date:1007315,lat:47.1299438,long:2.3942342;
date:1007335,lat:47.1300926,long:2.3942046;
date:1007355,lat:47.1302452,long:2.3941462;
date:1007375,lat:47.1303749,long:2.3941138;
date:1007395,lat:47.1305084,long:2.3940814;
date:1007415,lat:47.1306534,long:2.3940437;
date:1007435,lat:47.1307869,long:2.3940134;
date:1007455,lat:47.1309204,long:2.3939726;
date:1007475,lat:47.1310539,long:2.3939536;
date:1007495,lat:47.1311836,long:2.3939135;
date:1007515,lat:47.1313057,long:2.3938768;
date:1007535,lat:47.1314392,long:2.3938551;
date:1007555,lat:47.1315804,long:2.3938384;
date:1007575,lat:47.1317215,long:2.3938215;
date:1007595,lat:47.1318588,long:2.3938329;
date:1007615,lat:47.1319962,long:2.3938389;
date:1007635,lat:47.1321297,long:2.3938322;
date:1007655,lat:47.1322594,long:2.393852;
date:1007675,lat:47.1324005,long:2.3938158;
date:1007695,lat:47.1325302,long:2.3937843;
date:1007715,lat:47.1326599,long:2.393744;
date:1007735,lat:47.1327896,long:2.3936985;
date:1007755,lat:47.1329231,long:2.3936663;
date:1007775,lat:47.1330414,long:2.3936145;
date:1007795,lat:47.1331749,long:2.3935666;
date:1007815,lat:47.1333122,long:2.3935225;
date:1007835,lat:47.1334381,long:2.3935022;
date:1007855,lat:47.133564,long:2.393492;
date:1007875,lat:47.1336975,long:2.3934755;
date:1007895,lat:47.1338348,long:2.3934901;
date:1007915,lat:47.1339607,long:2.3935058;
date:1007935,lat:47.1340866,long:2.3935211;
date:1007955,lat:47.1342125,long:2.3935168;
date:1007975,lat:47.1343269,long:2.3935401;
date:1007995,lat:47.1344643,long:2.3935444;
date:1008015,lat:47.1345901,long:2.3935485;
date:1008035,lat:47.134716,long:2.3935549;
date:1008055,lat:47.1348419,long:2.393568;
